Date,Last,Settlement Price,Change,% Change,Bid,Ask,Open Interest,CVol
04/09/2025,86.68,86.68,-1.89,-2.13,86.67,86.68,623 659.00,309438
03/31/25,88.57,88.57,-3.42,-3.72,88.57,88.57,538 041.00,52532
02/28/25,91.99,91.99,-0.04,-0.05,91.99,91.99,503 454.00,16117
01/31/25,92.03,92.03,-0.36,-0.39,92.03,92.03,551 106.00,12665
12/31/24,92.39,92.39,2.11,2.33,92.39,92.39,529 975.00,70801
11/29/24,90.29,90.29,2.62,2.99,90.29,90.29,493 540.00,18611
10/31/24,87.66,87.66,2.38,2.79,87.66,87.66,767 707.00,18673
09/30/24,85.28,85.28,-0.54,-0.63,85.28,85.28,754 504.00,297761
08/30/24,85.83,85.82,-1.67,-1.91,85.83,85.83,540 287.00,110742
07/31/24,87.49,87.49,-0.84,-0.95,87.49,87.49,574 007.00,254797
06/28/24,88.34,88.33,1.13,1.29,88.33,88.34,354 291.00,48375
05/31/24,87.21,87.21,-1.33,-1.51,87.21,87.21,421 202.00,722
04/30/24,88.54,88.54,0.88,1,88.54,88.54,462 840.00,8825
03/28/24,87.66,87.66,0.17,0.2,87.66,87.66,481 474.00,46989
02/29/24,87.48,87.48,0.32,0.37,87.48,87.49,561 545.00,2215
01/31/24,87.16,87.16,1.46,1.7,87.16,87.16,530 725.00,399815
12/29/23,85.7,85.7,-1.06,-1.22,85.7,85.71,387 992.00,28582
11/30/23,86.77,86.77,-2.8,-3.13,86.76,86.77,512 392.00,16127
10/31/23,89.57,89.57,0.15,0.17,89.56,89.57,526 277.00,54743
09/29/23,89.42,89.42,2.22,2.55,89.42,89.42,376 769.00,44734
08/31/23,87.2,87.2,1.33,1.55,87.2,87.2,420 431.00,101577
07/31/23,85.87,85.87,-1.11,-1.28,85.86,85.87,393 665.00,43503
06/30/23,86.98,86.98,-2.08,-2.33,86.98,86.98,357 038.00,24540
05/31/23,89.06,89.06,2.85,3.31,89.06,89.06,458 785.00,6190
04/28/23,86.2,86.2,-1.41,-1.61,86.2,86.21,502 015.00,1486
03/31/23,87.61,87.61,-2.37,-2.64,87.61,87.62,453 075.00,39196
02/28/23,89.98,89.98,2.12,2.42,89.98,89.99,485 853.00,6040
01/31/23,87.86,87.86,-1.78,-1.99,87.86,87.86,534 358.00,102192
12/30/22,89.64,89.64,-3.24,-3.49,89.64,89.64,426 874.00,12729
11/30/22,92.9,92.89,-5.18,-5.28,92.89,92.9,380 789.00,118692
10/31/22,98.06,98.06,-0.87,-0.88,98.06,98.06,381 782.00,3392
09/30/22,98.93,98.93,1.8,1.85,98.93,98.93,434 342.00,75197
08/31/22,97.13,97.13,1.34,1.4,97.13,97.13,477 764.00,418
07/29/22,95.79,95.79,1.73,1.84,95.78,95.79,370 118.00,14847
06/30/22,94.05,94.05,1.42,1.53,94.05,94.05,357 382.00,17293
05/31/22,92.63,92.63,-1.84,-1.95,92.63,92.63,347 533.00,491
04/29/22,94.48,94.48,4.91,5.48,94.48,94.48,510 338.00,5878
03/31/22,89.57,89.57,0.85,0.96,89.57,89.57,481 015.00,42345
02/28/22,88.72,88.72,-0.15,-0.17,88.72,88.72,430 864.00,293776
01/31/22,88.86,88.87,1.14,1.3,88.86,88.86,284 143.00,150721
12/31/21,87.72,87.73,-0.98,-1.11,87.72,87.73,160 426.00,18325
11/30/21,88.71,88.71,2.37,2.74,88.7,88.71,194 560.00,116316
10/29/21,86.34,86.35,0.13,0.15,86.34,86.35,116 058.00,3516
